idx	num_cells	cell_types	K562_score 	THP1_score 
69	2	0.0	-0.2067669172932331	0.6087722894035663
81	2	0.0	-0.20614035087719296	0.3152490264398442
124	2	1.0	-0.007518796992481147	-0.9512605042016806
157	2	1.0	-0.19674185463659147	-0.8037712646034023
186	2	1.0	-0.21804511278195488	-0.5890551342488215
206	2	1.0	-0.17857142857142855	-1.249579831932773
219	2	0.5	-0.38471177944862156	-0.22512810002049605
234	2	1.0	0.001879699248120259	-0.5172166427546628
250	2	1.0	-0.17481203007518797	-0.6957983193277311
275	4	0.0	-0.33302005012531327	0.9333162533306005
294	3	0.6666666666666666	-0.10944026733500418	0.0027328004372481063
316	3	1.0	-0.08061821219715957	-0.5798319327731093
338	2	1.0	-0.09586466165413532	-0.7126050420168066
344	2	0.5	-0.0927318295739348	-0.39559335929493744
472	2	0.0	-0.4448621553884711	-0.23387989342078297
508	2	1.0	-0.03696741854636587	-1.1264603402336544
511	2	0.0	-0.474937343358396	0.8870465259274442
534	2	0.0	-0.6403508771929824	1.6802623488419757
581	2	0.0	-0.49937343358395986	0.16874359499897518
614	2	0.5	-0.30137844611528825	-0.12594794015167038
658	2	0.0	-0.35401002506265666	0.39317483090797295
699	2	1.0	-0.13471177944862156	-0.7151260504201681
700	2	1.0	0.0914786967418546	-0.9588030334084853
732	2	1.0	-0.3421052631578948	-0.9768805083008814
740	2	1.0	-0.23120300751879697	-1.0987087517934002
786	2	1.0	-0.3276942355889724	-1.0873949579831934
899	2	1.0	-0.12280701754385967	-0.6300676368108218
1110	2	1.0	-0.268796992481203	-1.0852838696454192
1137	2	1.0	0.043859649122807015	-0.5651158024185283
1217	2	1.0	-0.17606516290726817	-0.5709981553597049
1225	2	0.0	-0.368421052631579	-0.21258454601352733
1284	2	0.5	-0.44360902255639095	0.5298216847714696
