idx	num_cells	cell_types	K562_score 	THP1_score 
17	2	1.0	0.0958646616541353	-0.5171300735059124
21	2	1.0	0.06766917293233084	-0.2644295302013423
22	3	1.0	0.24269005847953218	-0.48411633109619684
29	2	0.5	-0.046365914786967416	0.16372643016938326
37	2	1.0	0.3458646616541353	-0.5426334292106103
38	2	0.5	0.14160401002506268	-0.11371045062320234
39	3	1.0	0.10401002506265666	-0.39552572706935124
45	2	0.5	-0.016290726817042606	-0.1400127836369447
57	2	0.5	-0.07894736842105263	0.2171620325982742
61	2	1.0	0.3527568922305765	-0.6008469159475871
63	2	0.5	-0.00877192982456139	-0.04229785874081174
66	2	1.0	0.1829573934837093	-0.5610738255033557
67	2	0.5	0.07456140350877195	-0.07051773729626082
70	2	0.5	-0.12280701754385963	-0.09509427932246722
75	2	1.0	0.2506265664160401	-0.704873761585171
85	2	0.0	-0.08395989974937343	0.4112975391498881
88	4	0.5	0.04667919799498749	-0.02146053052093319
90	2	0.0	-0.2474937343358396	0.6235218919782679
109	2	0.0	-0.20175438596491227	0.9033716842441675
112	4	1.0	0.19486215538847118	-0.6196388622563119
114	3	0.6666666666666666	0.19590643274853806	-0.2256524981357196
120	3	0.3333333333333333	-0.010442773600668328	0.12818791946308725
131	3	0.3333333333333333	-0.16374269005847952	0.40728667305848515
132	2	0.5	0.03571428571428571	0.08328539469479063
135	2	1.0	0.19110275689223055	-0.3887663790348354
143	2	1.0	0.11716791979949873	-0.6783796740172578
148	2	0.5	-0.03571428571428574	-0.1198146372643017
166	2	1.0	0.05075187969924813	-0.4375838926174497
172	2	0.5	0.05576441102756893	0.21805688718440397
182	2	0.0	-0.2224310776942356	0.9457973793544264
184	2	1.0	0.15350877192982454	-0.5110898050495365
185	2	0.0	-0.224937343358396	0.546548418024928
196	2	1.0	0.2355889724310777	-0.3922978587408118
202	2	0.5	-0.22556390977443608	0.989964844998402
204	2	1.0	0.4398496240601504	-0.4384308085650368
209	2	0.5	-0.035714285714285685	-0.09587727708533078
213	5	0.8	0.16115288220551377	-0.21396612336209656
234	3	0.6666666666666666	0.21929824561403502	-0.27955683391925
235	2	0.5	0.050125313283208045	-0.007606263982102901
237	2	1.0	0.16290726817042606	-0.7328859060402684
240	2	0.5	-0.035714285714285726	0.0055768616171300855
243	2	0.5	-0.14974937343358397	0.23325343560242884
246	2	0.0	-0.12155388471177947	0.5006711409395972
273	3	0.6666666666666666	0.02506265664160401	0.10986470650900182
279	2	0.5	0.3634085213032581	-0.1948705656759348
286	2	1.0	0.13847117794486216	-0.25771812080536916
292	2	0.5	0.0338345864661654	-0.13868648130393096
293	2	1.0	0.08082706766917293	-0.310738255033557
295	2	1.0	0.4586466165413534	-0.5867529562160434
297	2	1.0	0.17794486215538846	-0.12970597635027165
301	2	0.0	-0.11528822055137844	0.3251518056887185
303	2	1.0	0.26754385964912286	-0.5210131032278683
305	2	1.0	0.05388471177944862	-0.3711409395973154
324	3	1.0	0.09273182957393483	-0.31376371577713863
348	2	1.0	0.26378446115288223	-0.7355704697986578
355	2	0.0	-0.14724310776942356	0.552301054650048
363	2	0.5	-0.11904761904761907	0.6393576222435284
394	2	1.0	0.09586466165413533	-0.21812080536912754
411	2	0.5	0.014411027568922291	0.11546820070309999
413	2	0.5	-0.18609022556390978	0.13080856503675292
418	3	0.6666666666666666	-0.00041771094402674275	-0.13472888036646427
430	2	1.0	0.2600250626566416	-0.11225631192074145
446	2	0.5	0.023182957393483708	0.12801214445509745
447	2	1.0	0.2393483709273183	-0.7072387344199424
459	2	1.0	0.11152882205513784	-0.487248322147651
464	2	0.5	-0.07769423558897245	0.24872163630552893
499	2	1.0	-0.022556390977443608	-0.4109140300415468
500	2	1.0	-0.05200501253132832	-0.3651006711409396
503	2	0.5	0.021929824561403494	-0.2128315755832534
506	2	0.0	-0.11215538847117794	0.3595557686161713
521	3	0.6666666666666666	0.09231411862990808	-0.15488441461595823
526	2	0.0	-0.19298245614035087	0.9101949504634068
535	2	0.0	-0.15664160401002505	0.34069990412272294
537	3	0.6666666666666666	0.012531328320802023	-0.2866624054543518
555	2	1.0	0.31954887218045114	-0.40402684563758384
569	2	0.0	-0.12092731829573934	0.35736657078938955
584	2	1.0	0.10902255639097741	-0.6110898050495366
596	2	0.0	-0.09022556390977443	0.2696868008948546
601	2	0.5	0.06265664160401001	0.39875359539789074
617	2	1.0	0.11090225563909774	-0.2644295302013423
626	2	0.0	-0.06954887218045112	0.6042825183764782
628	2	0.5	0.02694235588972431	-0.24643656120166185
629	2	0.5	-0.07518796992481204	0.0023010546500479012
630	2	1.0	0.1766917293233083	-0.40335570469798654
637	2	1.0	0.21303258145363407	-0.36124960051134547
650	2	0.0	-0.07832080200501253	0.25711089805049536
655	2	1.0	0.1867167919799499	-0.2738255033557047
656	2	1.0	0.20363408521303258	-0.5879194630872483
662	2	0.5	-0.002506265664160387	-0.0859859379993608
670	2	1.0	0.1766917293233083	-0.5545381911153723
681	3	1.0	0.177109440267335	-0.5365825077234473
691	3	1.0	0.1950710108604846	-0.6610844785341429
703	2	0.5	0.06390977443609022	0.20650367529562164
717	2	0.5	0.10087719298245612	0.29659635666347073
758	2	1.0	0.17606516290726815	-0.7746724193032918
767	2	0.5	0.2424812030075188	-0.004170661553211885
798	2	1.0	0.35275689223057644	-0.6637583892617449
805	3	0.0	-0.05263157894736842	0.31532971130286563
825	2	1.0	0.1754385964912281	-0.2530201342281879
837	2	1.0	0.20927318295739344	-0.781240012783637
840	2	1.0	0.20112781954887218	-0.4469798657718121
852	2	1.0	0.3045112781954887	-0.5167785234899329
853	2	0.0	-0.09774436090225563	0.42444870565675935
864	2	1.0	0.24937343358395986	-0.4885906040268457
865	2	1.0	0.29824561403508776	-0.45605624800255673
876	2	1.0	0.474937343358396	-0.5382550335570471
883	2	0.0	-0.11967418546365914	0.22623841482901885
897	2	1.0	0.2531328320802005	-0.5402684563758389
910	2	1.0	0.17606516290726817	-0.8335570469798658
926	2	0.5	-0.08020050125313287	-0.017481623521891976
929	3	1.0	0.3742690058479532	-0.4594119527005433
944	2	0.0	-0.36278195488721804	1.199025247682966
975	2	1.0	0.1397243107769424	-0.5073825503355704
986	3	0.6666666666666666	0.008771929824561394	-0.10648769574944073
1000	2	1.0	0.023182957393483708	-0.29194630872483224
1021	2	1.0	0.16541353383458646	-0.6275167785234899
1023	2	0.0	-0.21679197994987467	0.8842601470118249
1027	2	0.5	0.042606516290726815	0.08946947906679448
1052	3	0.6666666666666666	0.10484544695071012	0.08241184617023545
1080	2	1.0	0.31641604010025065	-0.6404442313838288
1089	2	0.0	-0.3132832080200501	1.0784595717481622
1093	2	0.5	-0.19924812030075184	0.4332374560562479
1102	2	0.5	0.021929824561403508	-0.03464365612016619
1109	2	1.0	0.356516290726817	-0.6087248322147651
1130	2	1.0	0.0012531328320802004	-0.17114093959731544
1132	3	0.3333333333333333	-0.04553049289891392	0.46207521039735805
1141	3	1.0	0.2201336675020886	-0.35167785234899335
1142	3	0.6666666666666666	0.029239766081871343	0.334142963673165
1144	2	0.5	0.10776942355889726	0.03422818791946308
1152	2	1.0	0.22556390977443608	-0.46174496644295304
