idx	num_cells	cell_types	K562_score 	THP1_score 
12	2	1.0	0.1829573934837093	-0.5610738255033557
21	2	0.0	-0.2474937343358396	0.6235218919782679
35	2	1.0	0.11716791979949873	-0.6783796740172578
39	2	0.5	-0.03571428571428574	-0.1198146372643017
53	2	1.0	0.15350877192982454	-0.5110898050495365
54	2	0.0	-0.224937343358396	0.546548418024928
104	2	1.0	0.13847117794486216	-0.25771812080536916
121	3	1.0	0.09273182957393483	-0.31376371577713863
136	2	0.0	-0.14724310776942356	0.552301054650048
177	2	1.0	0.2600250626566416	-0.11225631192074145
229	2	0.0	-0.19298245614035087	0.9101949504634068
258	2	0.0	-0.12092731829573934	0.35736657078938955
273	2	0.0	-0.09022556390977443	0.2696868008948546
283	2	1.0	0.11090225563909774	-0.2644295302013423
289	2	0.0	-0.06954887218045112	0.6042825183764782
291	2	0.5	0.02694235588972431	-0.24643656120166185
292	2	0.5	-0.07518796992481204	0.0023010546500479012
305	2	1.0	0.1867167919799499	-0.2738255033557047
306	2	1.0	0.20363408521303258	-0.5879194630872483
321	3	1.0	0.177109440267335	-0.5365825077234473
368	2	1.0	0.17606516290726815	-0.7746724193032918
393	2	1.0	0.35275689223057644	-0.6637583892617449
398	3	0.0	-0.05263157894736842	0.31532971130286563
420	2	1.0	0.20927318295739344	-0.781240012783637
429	2	1.0	0.24937343358395986	-0.4885906040268457
430	2	1.0	0.29824561403508776	-0.45605624800255673
439	2	1.0	0.474937343358396	-0.5382550335570471
460	2	1.0	0.17606516290726817	-0.8335570469798658
524	2	1.0	0.023182957393483708	-0.29194630872483224
541	2	1.0	0.16541353383458646	-0.6275167785234899
545	2	0.5	0.042606516290726815	0.08946947906679448
591	2	0.0	-0.3132832080200501	1.0784595717481622
598	2	0.5	0.021929824561403508	-0.03464365612016619
604	2	1.0	0.356516290726817	-0.6087248322147651
622	2	1.0	0.0012531328320802004	-0.17114093959731544
631	3	1.0	0.2201336675020886	-0.35167785234899335
638	2	1.0	0.15726817042606517	-0.27382550335570466
690	2	1.0	0.046992481203007516	-0.5114093959731544
708	2	1.0	0.0012531328320802004	-0.5087567913071269
714	2	1.0	0.03759398496240601	-0.37583892617449666
