idx	num_cells	cell_types	K562_score 	THP1_score 
4	2	1.0	0.11716791979949873	-0.6783796740172578
11	2	1.0	0.15350877192982454	-0.5110898050495365
12	2	0.0	-0.224937343358396	0.546548418024928
54	2	1.0	0.2600250626566416	-0.11225631192074145
86	2	0.0	-0.12092731829573934	0.35736657078938955
95	2	0.0	-0.09022556390977443	0.2696868008948546
101	2	0.0	-0.06954887218045112	0.6042825183764782
136	2	1.0	0.17606516290726815	-0.7746724193032918
152	2	1.0	0.35275689223057644	-0.6637583892617449
180	2	1.0	0.474937343358396	-0.5382550335570471
233	2	1.0	0.023182957393483708	-0.29194630872483224
245	2	1.0	0.16541353383458646	-0.6275167785234899
281	2	1.0	0.356516290726817	-0.6087248322147651
294	2	1.0	0.0012531328320802004	-0.17114093959731544
301	3	1.0	0.2201336675020886	-0.35167785234899335
